| event     |   size |    time |     s0 |      s1 |     s2 |     s3 |
|-----------+--------+---------+--------+---------+--------+--------|
| arrival   |      0 |  2.5    | 2.5    |  0      | 0      | 0      |
| arrival   |      1 |  4.5004 | 2.5    |  2.0004 | 0      | 0      |
| arrival   |      2 |  6.7765 | 2.5    |  2.0004 | 2.2761 | 0      |
| departure |      3 |  7.4763 | 2.5    |  2.0004 | 2.2761 | 0.6998 |
| departure |      2 |  8.1606 | 2.5    |  2.0004 | 2.9604 | 0.6998 |
| arrival   |      1 |  9.1163 | 2.5    |  2.9561 | 2.9604 | 0.6998 |
| departure |      2 | 11.1559 | 2.5    |  2.9561 | 5      | 0.6998 |
| arrival   |      1 | 11.5732 | 2.5    |  3.3734 | 5      | 0.6998 |
| departure |      2 | 12.1652 | 2.5    |  3.3734 | 5.592  | 0.6998 |
| arrival   |      1 | 14.494  | 2.5    |  5.7022 | 5.592  | 0.6998 |
| departure |      2 | 15.1095 | 2.5    |  5.7022 | 6.2075 | 0.6998 |
| departure |      1 | 17.1837 | 2.5    |  7.7764 | 6.2075 | 0.6998 |
| arrival   |      0 | 17.3485 | 2.6648 |  7.7764 | 6.2075 | 0.6998 |
| departure |      1 | 20.2248 | 2.6648 | 10.6527 | 6.2075 | 0.6998 |
