| event     |   size |    time |     s0 |     s1 |     s2 |     s3 |
|-----------+--------+---------+--------+--------+--------+--------|
| arrival   |      0 |  7.4763 | 7.4763 | 0      | 0      | 0      |
| arrival   |      1 |  8.1606 | 7.4763 | 0.6843 | 0      | 0      |
| arrival   |      2 | 11.1559 | 7.4763 | 0.6843 | 2.9953 | 0      |
| arrival   |      3 | 12.1652 | 7.4763 | 0.6843 | 2.9953 | 1.0093 |
| departure |      3 | 12.2809 | 7.4763 | 0.6843 | 2.9953 | 1.125  |
| arrival   |      2 | 15.1095 | 7.4763 | 0.6843 | 5.8239 | 1.125  |
| departure |      3 | 15.3151 | 7.4763 | 0.6843 | 5.8239 | 1.3306 |
| arrival   |      2 | 17.1837 | 7.4763 | 0.6843 | 7.6925 | 1.3306 |
| departure |      3 | 19.5153 | 7.4763 | 0.6843 | 7.6925 | 3.6622 |
| arrival   |      2 | 20.2248 | 7.4763 | 0.6843 | 8.402  | 3.6622 |
